id,inst_type,inst_id,US_region,PUI_RI,world_region,Other_inst_type
142_2021-2022,offer_institutions,4675,NA,NA,NA,NA
143_2021-2022,offer_institutions,4675,NA,NA,NA,NA
144_2021-2022,offer_institutions,3913,Southeast,RI,USA,US college or university
145_2021-2022,offer_institutions,3936,Rocky Mountains,RI,USA,US college or university
146_2021-2022,offer_institutions,4675,NA,NA,NA,NA
147_2021-2022,offer_institutions,3809,Southeast,RI,USA,US college or university
148_2021-2022,offer_institutions,4675,NA,NA,NA,NA
149_2021-2022,offer_institutions,0,NA,NA,NA,NA
150_2021-2022,offer_institutions,0,NA,NA,NA,NA
151_2021-2022,offer_institutions,4675,NA,NA,NA,NA
152_2021-2022,offer_institutions,3884,Northeast,RI,USA,US college or university
153_2021-2022,offer_institutions,0,NA,NA,NA,NA
154_2021-2022,offer_institutions,4675,NA,NA,NA,NA
155_2021-2022,offer_institutions,3733,Southwest,RI,USA,US college or university
156_2021-2022,offer_institutions,4533,NA,RI,Western Pacific,NA
157_2021-2022,offer_institutions,4675,NA,NA,NA,NA
158_2021-2022,offer_institutions,4675,NA,NA,NA,NA
159_2021-2022,offer_institutions,368,Northeast,RI,USA,US college or university
160_2021-2022,offer_institutions,4675,NA,NA,NA,NA
161_2021-2022,offer_institutions,4675,NA,NA,NA,NA
162_2021-2022,offer_institutions,0,NA,NA,NA,NA
163_2021-2022,offer_institutions,825,Southeast,PUI,USA,US college or university
164_2021-2022,offer_institutions,4675,NA,NA,NA,NA
165_2021-2022,offer_institutions,4675,NA,NA,NA,NA
166_2021-2022,offer_institutions,3599,Southwest,PUI,USA,US college or university
167_2021-2022,offer_institutions,4675,NA,NA,NA,NA
168_2021-2022,offer_institutions,3887,Northeast,RI,USA,US college or university
169_2021-2022,offer_institutions,4675,NA,NA,NA,NA
170_2021-2022,offer_institutions,4675,NA,NA,NA,NA
171_2021-2022,offer_institutions,4675,NA,NA,NA,NA
172_2021-2022,offer_institutions,4675,NA,NA,NA,NA
173_2021-2022,offer_institutions,4675,NA,NA,NA,NA
174_2021-2022,offer_institutions,4675,NA,NA,NA,NA
175_2021-2022,offer_institutions,2925,Northeast,RI,USA,US college or university
176_2021-2022,offer_institutions,4675,NA,NA,NA,NA
177_2021-2022,offer_institutions,3713,Northeast,RI,USA,US college or university
178_2021-2022,offer_institutions,4675,NA,NA,NA,NA
179_2021-2022,offer_institutions,2685,Northeast,PUI,USA,US college or university
180_2021-2022,offer_institutions,3809,Southeast,RI,USA,US college or university
181_2021-2022,offer_institutions,4675,NA,NA,NA,NA
182_2021-2022,offer_institutions,3537,Southwest,PUI,USA,US college or university
183_2021-2022,offer_institutions,4675,NA,NA,NA,NA
184_2021-2022,offer_institutions,3043,Pacific,RI,USA,US college or university
185_2021-2022,offer_institutions,3706,Midwest,RI,USA,US college or university
186_2021-2022,offer_institutions,0,NA,NA,NA,NA
187_2021-2022,offer_institutions,4675,NA,NA,NA,NA
189_2021-2022,offer_institutions,4675,NA,NA,NA,NA
190_2021-2022,offer_institutions,4675,NA,NA,NA,NA
191_2021-2022,offer_institutions,3773,Midwest,RI,USA,US college or university
192_2021-2022,offer_institutions,4675,NA,NA,NA,NA
193_2021-2022,offer_institutions,4675,NA,NA,NA,NA
194_2021-2022,offer_institutions,4675,NA,NA,NA,NA
195_2021-2022,offer_institutions,4675,NA,NA,NA,NA
196_2021-2022,offer_institutions,627,Midwest,RI,USA,US college or university
197_2021-2022,offer_institutions,2428,Southeast,RI,USA,US college or university
198_2021-2022,offer_institutions,1655,Midwest,RI,USA,US college or university
199_2021-2022,offer_institutions,4675,NA,NA,NA,NA
200_2021-2022,offer_institutions,1293,Southeast,PUI,USA,US college or university
201_2021-2022,offer_institutions,3043,Pacific,RI,USA,US college or university
